Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
agoda,Hotel Tenera Bandar Baru Bangi,2727351,Kuala Lumpur,Malaysia,5,8.9,2025-12-12,2025-12-13,bandar bangi baru tenera
tripcom,Hotel Antin St Georges,2727792,Paris,Perancis,2,6.8,2025-12-09,2025-12-10,antin georges st
agoda,HOTEL MYSTAYS Haneda,2729095,Tokyo,Jepang,4,8.4,2025-12-16,2025-12-17,haneda mystays
tripcom,Avia Hôtel Saphir Montparnasse,2729673,Paris,Perancis,3,8.0,2025-12-18,2025-12-19,avia hôtel montparnasse saphir
agoda,Dorsett Kwun Tong - Hong Kong,2731881,Hong Kong,China,4,8.0,2025-12-15,2025-12-16,dorsett hong kong kwun tong
tripcom,TRIBE Paris Clichy,2733140,Paris,Perancis,4,9.1,2025-12-15,2025-12-16,clichy paris tribe
tripcom,Hilton Garden Inn Singapore Serangoon,2733704,Singapura,Singapura,4,8.6,2025-12-16,2025-12-17,garden hilton serangoon singapore
agoda,Jongno IMT,2733730,Seoul,South Korea,4,7.9,2025-12-10,2025-12-11,imt jongno
tripcom,Le Montclair Montmartre by River,2733864,Paris,Perancis,2,6.0,2025-12-10,2025-12-11,by le montclair montmartre river
tripcom,Libertel Gare du Nord Suede,2735314,Paris,Perancis,3,8.8,2025-12-18,2025-12-19,du gare libertel nord suede
traveloka,Concorde Hotel Singapore,2735656,Singapura,Singapura,4,8.8,2025-12-08,2025-12-09,concorde singapore
tripcom,Hotel Le Quartier Bercy Square,2736303,Paris,Perancis,3,8.8,2025-12-18,2025-12-19,bercy le quartier square
tripcom,Mercure Singapore on Stevens,2739995,Singapura,Singapura,4,8.6,2025-12-11,2025-12-12,mercure on singapore stevens
agoda,Hotel Aviatic,2740501,Paris,Perancis,2,7.9,2025-12-09,2025-12-10,aviatic
agoda,The Mira Hong Kong,2741328,Hong Kong,China,5,8.9,2025-12-09,2025-12-10,hong kong mira the
tripcom,JW Marriott Hotel Kuala Lumpur,2741800,Kuala Lumpur,Malaysia,5,9.2,2025-12-18,2025-12-19,jw kuala lumpur marriott
tripcom,Hotel Skypark Dongdaemun I,2742669,Seoul,Korea Selatan,4,8.6,2025-12-15,2025-12-16,dongdaemun i skypark
tripcom,Ibis Paris la Villette Cité des Sciences 19ème,2742767,Paris,Perancis,3,7.8,2025-12-12,2025-12-13,19ème cité des ibis la paris sciences villette
agoda,citizenM Paris Charles de Gaulle Airport,2744194,Paris,Perancis,5,8.9,2025-12-09,2025-12-10,airport charles citizenm de gaulle paris
tripcom,Hotel Le Quartier Bercy Square,2744339,Paris,Perancis,3,8.8,2025-12-16,2025-12-17,bercy le quartier square
tripcom,The Westin Surabaya,2746700,Surabaya,Indonesia,5,9.5,2025-12-14,2025-12-15,surabaya the westin
agoda,B&B Hotel Paris Roissy CDG Aeroport,2748636,Paris,Perancis,2,7.8,2025-12-14,2025-12-15,aeroport bb cdg paris roissy
agoda,APA Hotel Shinjuku-Kabukicho Tower,2748856,Tokyo,Jepang,4,8.0,2025-12-09,2025-12-10,apa shinjukukabukicho tower
agoda,hotelF1 Roissy CDG,2749276,Paris,Perancis,1,7.6,2025-12-17,2025-12-18,cdg hotelf1 roissy
agoda,Hotel Tentrem Semarang,2750000,Semarang,Indonesia,5,9.5,2025-12-15,2025-12-16,semarang tentrem
agoda,attitude on granville,2752407,Hong Kong,China,4,8.1,2025-12-14,2025-12-15,attitude granville on
tripcom,the b asakusa,2753614,Tokyo,Jepang,3,9.0,2025-12-12,2025-12-13,asakusa b the
agoda,OKKO Hotels Paris Gare de l'Est,2757766,Paris,Perancis,4,8.7,2025-12-15,2025-12-16,de gare hotels lest okko paris
agoda,hotelF1 Roissy CDG,2757766,Paris,Perancis,1,7.6,2025-12-11,2025-12-12,cdg hotelf1 roissy
agoda,Grand Kangen Hotel Urip Sumoharjo,2759210,Yogyakarta,Indonesia,4,8.5,2025-12-09,2025-12-10,grand kangen sumoharjo urip
agoda,Moon Hotel,2759448,Penang,Malaysia,4,8.6,2025-12-16,2025-12-17,moon
agoda,Splendid Etoile Hotel,2760406,Paris,Perancis,4,8.9,2025-12-17,2025-12-18,etoile splendid
bookingcom,Deep Roots Dive & Yoga Resort,2760800,Bali,Indonesia,4,9.6,2025-12-10,2025-12-11,deep dive roots yoga
agoda,Novotel Paris Centre Tour Eiffel Hotel,2761416,Paris,Perancis,4,8.0,2025-12-14,2025-12-15,centre eiffel novotel paris tour
tripcom,Libertel Canal Saint Martin,2762437,Paris,Perancis,3,8.4,2025-12-14,2025-12-15,canal libertel martin saint
tripcom,Shinjuku Washington Hotel,2763536,Tokyo,Jepang,4,8.5,2025-12-11,2025-12-12,shinjuku washington
agoda,The Residence on Thonglor by UHG,2764585,Bangkok,Thailand,4,8.3,2025-12-09,2025-12-10,by on residence the thonglor uhg
agoda,Hotel Tolbiac,2765097,Paris,Perancis,3,6.6,2025-12-10,2025-12-11,tolbiac
agoda,B&B Hotel Paris Saint-Denis Pleyel,2766836,Paris,Perancis,2,8.1,2025-12-13,2025-12-14,bb paris pleyel saintdenis
tripcom,Hotel Prince Albert Wagram,2768343,Paris,Perancis,3,8.3,2025-12-16,2025-12-17,albert prince wagram
