Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
agoda,Geographotel Paris-Roissy CDG Airport,3758012,Paris,Perancis,3,7.9,03/10/2025,04/10/2025,airport cdg geographotel parisroissy
traveloka,Lux Hotel Picpus,3759146,Paris,Perancis,4,10.0,02/10/2025,03/10/2025,lux picpus
agoda,Zenith Hotel Putrajaya,3760368,Kuala Lumpur,Malaysia,5,8.9,03/10/2025,04/10/2025,putrajaya zenith
traveloka,"voco PARIS MONTPARNASSE by IHG, an IHG Hotel",3760397,Paris,Perancis,5,8.6,05/10/2025,06/10/2025,an by ihg ihg montparnasse paris voco
traveloka,Ramada Hong Kong Grand View,3762830,Hong Kong,China,5,8.4,04/10/2025,05/10/2025,grand hong kong ramada view
traveloka,"Holiday Inn Express HONG KONG KOWLOON CBD2 by IHG, an IHG Hotel",3762833,Hong Kong,China,5,8.4,04/10/2025,05/10/2025,an by cbd2 express holiday hong ihg ihg kong kowloon
traveloka,Tokyo Bay Shiomi Prince Hotel,3765035,Tokyo,Jepang,4,9.4,27/09/2025,28/09/2025,bay prince shiomi tokyo
agoda,Nina Hotel Tsuen Wan West,3766120,Hong Kong,China,5,8.7,02/10/2025,03/10/2025,nina tsuen wan west
traveloka,Hôtel Tourisme Avenue,3766180,Paris,Perancis,4,9.2,30/09/2025,01/10/2025,avenue hôtel tourisme
traveloka,Sheraton Hong Kong Hotel & Towers,3766287,Hong Kong,China,5,8.6,27/09/2025,28/09/2025,hong kong sheraton towers
traveloka,Sheraton Hong Kong Hotel & Towers,3766287,Hong Kong,China,5,8.6,26/09/2025,27/09/2025,hong kong sheraton towers
traveloka,Renaissance Hong Kong Harbour View Hotel,3766287,Hong Kong,China,5,8.8,29/09/2025,30/09/2025,harbour hong kong renaissance view
traveloka,ibis Hong Kong Central & Sheung Wan,3766287,Hong Kong,China,4,8.4,02/10/2025,03/10/2025,central hong ibis kong sheung wan
traveloka,"Holiday Inn PARIS - AUTEUIL by IHG, an IHG Hotel",3766616,Paris,Perancis,4,8.8,04/10/2025,05/10/2025,an auteuil by holiday ihg ihg paris
traveloka,the b ginza,3773000,Tokyo,Jepang,4,9.0,26/09/2025,27/09/2025,b ginza the
agoda,MK STAY - Formerly HOTEL MK,3773089,Hong Kong,China,3,7.3,02/10/2025,03/10/2025,formerly mk mk stay
traveloka,Centara Grand at CentralWorld,3773309,Bangkok,Thailand,5,9.0,26/09/2025,27/09/2025,at centara centralworld grand
agoda,Pullman Paris Roissy CDG Airport,3774290,Paris,Perancis,4,8.6,04/10/2025,05/10/2025,airport cdg paris pullman roissy
traveloka,Century Southern Tower Hotel,3774351,Tokyo,Jepang,4,9.2,30/09/2025,01/10/2025,century southern tower
traveloka,Hipotel Paris Père Lachaise République,3774555,Paris,Perancis,5,8.4,01/10/2025,02/10/2025,hipotel lachaise paris père république
agoda,Novotel Paris Gare Montparnasse,3775083,Paris,Perancis,4,8.0,03/10/2025,04/10/2025,gare montparnasse novotel paris
tripcom,TRIBE Paris Clichy,3775492,Paris,Perancis,4,9.1,16/10/2025,17/10/2025,clichy paris tribe
traveloka,L7 Hongdae,3778176,Seoul,South Korea,4,8.8,05/10/2025,06/10/2025,hongdae l7
agoda,Old Penang Hotel - Penang Times Square,3778704,Penang,Malaysia,2,7.3,27/09/2025,28/09/2025,old penang penang square times
agoda,Komune Living,3778704,Kuala Lumpur,Malaysia,3,9.0,01/10/2025,02/10/2025,komune living
agoda,Vouk Hotel Suites,3778704,Penang,Malaysia,4,8.0,01/10/2025,02/10/2025,suites vouk
traveloka,"The Millen Penang, Autograph Collection",3779286,Penang,Malaysia,5,10.0,01/10/2025,02/10/2025,autograph collection millen penang the
agoda,The Singapore EDITION,3779622,Singapura,Singapura,5,9.1,01/10/2025,02/10/2025,edition singapore the
tripcom,Hotel Seb&Co,3781326,Paris,Perancis,3,9.2,16/10/2025,17/10/2025,sebco
bookingcom,Adiwana Unagi Riverfront,3783827,Bali,Indonesia,5,9.2,28/10/2025,29/10/2025,adiwana riverfront unagi
bookingcom,Adiwana Unagi Riverfront,3783827,Bali,Indonesia,5,9.2,29/10/2025,30/10/2025,adiwana riverfront unagi
bookingcom,Adiwana Unagi Riverfront,3783827,Bali,Indonesia,5,9.2,03/11/2025,04/11/2025,adiwana riverfront unagi
bookingcom,Desa Di Bali Villas,3783827,Bali,Indonesia,4,9.1,27/10/2025,28/10/2025,bali desa di villas
bookingcom,Adiwana Unagi Riverfront,3783827,Bali,Indonesia,5,9.2,30/10/2025,31/10/2025,adiwana riverfront unagi
bookingcom,Adiwana Unagi Riverfront,3783827,Bali,Indonesia,5,9.2,31/10/2025,01/11/2025,adiwana riverfront unagi
bookingcom,Adiwana Unagi Riverfront,3783827,Bali,Indonesia,5,9.2,05/11/2025,06/11/2025,adiwana riverfront unagi
bookingcom,Adiwana Unagi Riverfront,3783827,Bali,Indonesia,5,9.2,04/11/2025,05/11/2025,adiwana riverfront unagi
bookingcom,Adiwana Unagi Riverfront,3783827,Bali,Indonesia,5,9.2,01/11/2025,02/11/2025,adiwana riverfront unagi
bookingcom,Adiwana Unagi Riverfront,3783827,Bali,Indonesia,5,9.2,02/11/2025,03/11/2025,adiwana riverfront unagi
traveloka,Hôtel Excelsior Opéra,3784382,Paris,Perancis,3,8.8,26/09/2025,27/09/2025,excelsior hôtel opéra
traveloka,Hotel 81 Chinatown,3786364,Singapura,Singapura,5,8.2,05/10/2025,06/10/2025,81 chinatown
tripcom,Hôtel Paris Neuilly,3788439,Paris,Perancis,4,8.9,13/10/2025,14/10/2025,hôtel neuilly paris
agoda,The Mira Hong Kong,3789124,Hong Kong,China,5,8.9,03/10/2025,04/10/2025,hong kong mira the
traveloka,"Holiday Inn SINGAPORE ORCHARD CITY CENTRE by IHG, an IHG Hotel",3789254,Singapura,Singapura,4,8.6,28/09/2025,29/09/2025,an by centre city holiday ihg ihg orchard singapore
bookingcom,Holiday Inn Express Singapore Clarke Quay by IHG,3789311,Singapura,Singapura,3,8.6,29/10/2025,30/10/2025,by clarke express holiday ihg quay singapore
bookingcom,Holiday Inn Express Singapore Clarke Quay by IHG,3789311,Singapura,Singapura,3,8.6,28/10/2025,29/10/2025,by clarke express holiday ihg quay singapore
bookingcom,"Pan Pacific Serviced Suites Beach Road, Singapore",3789311,Singapura,Singapura,5,8.8,27/10/2025,28/10/2025,beach pacific pan road serviced singapore suites
bookingcom,Holiday Inn Express Singapore Clarke Quay by IHG,3789311,Singapura,Singapura,3,8.6,03/11/2025,04/11/2025,by clarke express holiday ihg quay singapore
bookingcom,Holiday Inn Express Singapore Clarke Quay by IHG,3789311,Singapura,Singapura,3,8.6,04/11/2025,05/11/2025,by clarke express holiday ihg quay singapore
bookingcom,Holiday Inn Express Singapore Clarke Quay by IHG,3789311,Singapura,Singapura,3,8.6,31/10/2025,01/11/2025,by clarke express holiday ihg quay singapore
bookingcom,Holiday Inn Express Singapore Clarke Quay by IHG,3789311,Singapura,Singapura,3,8.6,02/11/2025,03/11/2025,by clarke express holiday ihg quay singapore
bookingcom,Holiday Inn Express Singapore Clarke Quay by IHG,3789311,Singapura,Singapura,3,8.6,01/11/2025,02/11/2025,by clarke express holiday ihg quay singapore
bookingcom,Holiday Inn Express Singapore Clarke Quay by IHG,3789311,Singapura,Singapura,3,8.6,05/11/2025,06/11/2025,by clarke express holiday ihg quay singapore
bookingcom,Holiday Inn Express Singapore Clarke Quay by IHG,3789311,Singapura,Singapura,3,8.6,30/10/2025,31/10/2025,by clarke express holiday ihg quay singapore
traveloka,Hilton Bali Resort,3793240,Bali,Indonesia,5,9.6,26/09/2025,27/09/2025,bali hilton
agoda,Harbour Plaza 8 Degrees,3793744,Hong Kong,China,4,8.4,02/10/2025,03/10/2025,8 degrees harbour plaza
traveloka,Lux Hotel Picpus,3794653,Paris,Perancis,4,10.0,03/10/2025,04/10/2025,lux picpus
traveloka,Kerry Hotel Hong Kong,3794653,Hong Kong,China,4,9.2,29/09/2025,30/09/2025,hong kerry kong
traveloka,Amanti Hotel Seoul Hongdae,3795240,Seoul,South Korea,4,8.6,27/09/2025,28/09/2025,amanti hongdae seoul
agoda,Holiday Inn Express Paris - CDG Airport By IHG,3799879,Paris,Perancis,3,8.5,05/10/2025,06/10/2025,airport by cdg express holiday ihg paris
agoda,Marco Polo Hongkong Hotel,3800381,Hong Kong,China,5,8.7,04/10/2025,05/10/2025,hongkong marco polo
traveloka,The RuMa Hotel and Residences 如玛酒店,3803195,Kuala Lumpur,Malaysia,5,9.4,26/09/2025,27/09/2025,and residences ruma the 如玛酒店
traveloka,Furama RiverFront,3803363,Singapura,Singapura,5,8.4,27/09/2025,28/09/2025,furama riverfront
tripcom,Kyriad Paris 10 - Canal Saint Martin - République,3803399,Paris,Perancis,3,8.3,15/10/2025,16/10/2025,10 canal kyriad martin paris république saint
traveloka,Travelodge Myeongdong Euljiro,3803700,Seoul,South Korea,3,8.4,26/09/2025,27/09/2025,euljiro myeongdong travelodge
traveloka,Royal Hotel Seoul,3803700,Seoul,South Korea,5,8.8,03/10/2025,04/10/2025,royal seoul
traveloka,Moxy Seoul Insadong,3803700,Seoul,South Korea,4,9.0,27/09/2025,28/09/2025,insadong moxy seoul
agoda,MOB House,3805232,Paris,Perancis,4,8.3,27/09/2025,28/09/2025,house mob
tripcom,Hotel Le Faubourg Paris,3805339,Paris,Perancis,2,7.2,14/10/2025,15/10/2025,faubourg le paris
traveloka,MIMARU Tokyo Ginza East,3805953,Tokyo,Jepang,3,9.6,30/09/2025,01/10/2025,east ginza mimaru tokyo
agoda,Xi Hotel,3809162,Hong Kong,China,4,7.9,03/10/2025,04/10/2025,xi
tripcom,Hotel de l'Aqueduc,3809479,Paris,Perancis,3,8.7,15/10/2025,16/10/2025,de laqueduc
traveloka,Eaton HK,3809560,Hong Kong,China,5,8.6,02/10/2025,03/10/2025,eaton hk
agoda,Geographotel Paris-Roissy CDG Airport,3810000,Paris,Perancis,3,7.9,30/09/2025,01/10/2025,airport cdg geographotel parisroissy
traveloka,Hotel Skypark Myeongdong Iii,3810328,Seoul,South Korea,3,8.6,04/10/2025,05/10/2025,iii myeongdong skypark
traveloka,"Holiday Inn Express HONG KONG CAUSEWAY BAY by IHG, an IHG Hotel",3811104,Hong Kong,China,5,8.0,02/10/2025,03/10/2025,an bay by causeway express holiday hong ihg ihg kong
tripcom,Disney Explorers Lodge,3811621,Hong Kong,China,5,9.3,15/10/2025,16/10/2025,disney explorers lodge
traveloka,JR KYUSHU HOTEL Blossom Shinjuku,3817417,Tokyo,Jepang,4,9.4,02/10/2025,03/10/2025,blossom jr kyushu shinjuku
tripcom,Hotel Monterey Hanzomon,3818089,Tokyo,Jepang,4,9.3,18/10/2025,19/10/2025,hanzomon monterey
traveloka,Aparthotel Adagio Access Paris Porte de Charenton,3819916,Paris,Perancis,2,9.7,27/09/2025,28/09/2025,access adagio aparthotel charenton de paris porte
tripcom,The Royal Garden Hotel,3819996,Hong Kong,China,5,8.9,19/10/2025,20/10/2025,garden royal the
traveloka,Residence Inn by Marriott Paris Didot Montparnasse,3820094,Paris,Perancis,4,8.8,26/09/2025,27/09/2025,by didot marriott montparnasse paris residence
traveloka,Residence Inn by Marriott Paris Didot Montparnasse,3820094,Paris,Perancis,4,8.8,27/09/2025,28/09/2025,by didot marriott montparnasse paris residence
tripcom,Mercure Paris Montmartre Sacré Coeur,3820929,Paris,Perancis,4,8.3,18/10/2025,19/10/2025,coeur mercure montmartre paris sacré
traveloka,The RuMa Hotel and Residences 如玛酒店,3821117,Kuala Lumpur,Malaysia,5,9.4,27/09/2025,28/09/2025,and residences ruma the 如玛酒店
tripcom,Hôtel Mercure Paris Porte d'Orléans,3822303,Paris,Perancis,4,7.2,21/10/2025,22/10/2025,dorléans hôtel mercure paris porte
agoda,Hotel Locomo - Gare de Lyon Bastille,3825027,Paris,Perancis,3,8.9,27/09/2025,28/09/2025,bastille de gare locomo lyon
